units,,min,K,K,K,,,,,Ohm/sq,Ohm,m^3/C,Ohm.cm,/cm^3,cm^2/Vs,Ohm
name,,elapsed time,stage temperature,sample temperature,monitor temperature,,Type,Rxx State,Rxy State,sheet resistance,Hall resistance,Hall coefficient,Hall resistivity,Hall (carrier) density,Hall mobility,2 point contact 
CY03-PVK-02,THA36,791.2665834,150.02,185.823741,171.96,,n,51,61,1.50103E+11,-64050004.23,-74.2980049,8705952.03,84005756686,8.534161991,2.66121E+12
CY03-PVK-02,THA37,814.1270833,140.3,180.0785714,164.161,,n,51,61,-23125268685,-21748607.58,-25.22838479,-1341265.584,2.47398E+11,18.80938801,3.54753E+12
CY03-PVK-02,THA38,839.546,130.234,171.4607143,154.691,,n,51,61,-22508667748,-2410350571,-2796.006663,-1305502.729,2232276556,2141.708784,2.5419E+12
CY03-PVK-02,THA39,864.618,120.113,167.5142857,147.264,,n,51,61,8475489140,-2203796554,-2556.404003,491578.3701,2441499902,5200.399689,3.17922E+12
CY03-PVK-02,THA40,889.3125668,109.909,159.2553957,138.691,,n,51,61,84758195326,-640024676.4,-742.4286246,4915975.329,8406815033,151.0236677,3.11747E+12
CY03-PVK-02,THA41,912.1637001,100.006,155.6642857,131.571,,n,51,61,38806897641,-519957300.1,-603.1504681,2250800.063,10348097949,267.9715884,2.80568E+12
CY03-PVK-02,THA42,934.9856668,89.823,149.5539568,122.467,,n,51,61,38277434247,-7932258.13,-9.201419431,2220091.186,6.78315E+11,4.144613288,1.22906E+13
CY03-PVK-02,THA43,957.7421501,79.956,145.2338129,115.048,,p,51,61,14133286517,137068791.1,158.9997977,819730.618,39254516122,193.965913,2.84884E+12
CY03-PVK-02,THA44,983.7034835,59.992,140.5507246,98.724,,n,51,61,49202500476,-6456471794,-7489.507282,2853745.028,833360578.7,2624.448649,3.42034E+12
CY03-PVK-02,THA45,1007.284167,40.011,133.6942446,85.822,,p,51,61,-2374759014,542913962.2,629.7801962,-137736.0228,9910537296,4572.370999,2.18122E+12
