Fname,BatchID,Fidx,elapsed time,optical density,Monitor photo density,stage temperature,sample temperature,monitor temperature,Type,Rxx State,Rxy State,sheet resistance,Hall resistance,Hall resistivity,conductivity,Hall coefficient,sigma square hall coefficient,Hall density,Hall mobility,wavelength
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P4HB_L715\QHOT01-W1-CTRL2_Vsrc2V_L715_P4HB19.mat,P4HB,19,739086.0592,0.1,0.000413219,NaN,298,NaN,N,51+53,59+61,12776.57031,-384.226879,9.32689633,0.107216802,-0.431596393,-0.004961392,-1.45E+19,0.046274385,715
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P4HB_L715\QHOT01-W1-CTRL2_Vsrc2V_L715_P4HB20.mat,P4HB,20,739086.066,0,0.001416397,NaN,298,NaN,N,51+53,59+61,5555.244215,-175.0937827,4.055328277,0.246589162,-0.196680267,-0.011959383,-3.17E+19,0.048499222,715
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P4HB_L715\QHOT01-W1-CTRL2_Vsrc2V_L715_P4HB21.mat,P4HB,21,739086.0727,10,9.20E-13,NaN,298,NaN,P,51+53,59+61,205568.1973,2574.828393,150.064784,0.006663789,2.892266802,0.000128434,2.16E+18,0.019273455,715
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB01.mat,P5HB,1,739086.0798,10,1.94E-13,NaN,298,NaN,P,51+53,59+61,214786.0662,2677.29808,156.7938283,0.006377802,3.007369491,0.000122329,2.08E+18,0.019180407,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB02.mat,P5HB,2,739086.0866,7.8,1.89E-06,NaN,298,NaN,P,51+53,59+61,180911.9206,1352.98667,132.065702,0.007571989,1.519789995,8.71E-05,4.11E+18,0.011507833,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB03.mat,P5HB,3,739086.0934,7,1.33E-09,NaN,298,NaN,P,51+53,59+61,222896.7404,2787.888009,162.7146205,0.006145729,3.131593529,0.00011828,1.99E+18,0.019245926,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB04.mat,P5HB,4,739086.1004,6,6.28E-09,NaN,298,NaN,P,51+53,59+61,224575.9288,2809.007769,163.940428,0.006099777,3.155317044,0.000117401,1.98E+18,0.019246729,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB05.mat,P5HB,5,739086.1072,5,4.99E-08,NaN,298,NaN,P,51+53,59+61,223703.397,2759.391653,163.3034798,0.006123568,3.099583993,0.000116228,2.01E+18,0.018980514,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB06.mat,P5HB,6,739086.114,4.5,1.51E-07,NaN,298,NaN,P,51+53,59+61,221103.3772,2675.38128,161.4054653,0.006195577,3.005216378,0.000115356,2.08E+18,0.01861905,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB07.mat,P5HB,7,739086.1208,4,5.13E-07,NaN,298,NaN,P,51+53,59+61,214438.898,2419.760847,156.5403955,0.006388127,2.718081711,0.00011092,2.30E+18,0.017363452,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB08.mat,P5HB,8,739086.1276,3.5,2.62E-07,NaN,298,NaN,P,51+53,59+61,220896.3678,2638.614015,161.2543485,0.006201383,2.963916251,0.000113984,2.11E+18,0.01838038,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB09.mat,P5HB,9,739086.1346,3,6.42E-07,NaN,298,NaN,P,51+53,59+61,213972.9454,2392.655962,156.2002502,0.006402038,2.687635194,0.000110156,2.32E+18,0.017206344,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB10.mat,P5HB,10,739086.1413,2.5,1.63E-06,NaN,298,NaN,P,51+53,59+61,201769.3573,1900.267893,147.2916308,0.006789252,2.13454293,9.84E-05,2.92E+18,0.01449195,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB11.mat,P5HB,11,739086.1481,2,4.40E-06,NaN,298,NaN,P,51+53,59+61,180644.2126,992.7499711,131.8702752,0.00758321,1.115141417,6.41E-05,5.60E+18,0.008456352,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB12.mat,P5HB,12,739086.1549,1.5,1.26E-05,NaN,298,NaN,N,51+53,59+61,145004.3334,-494.083586,105.8531634,0.009447049,-0.554996813,-4.95E-05,-1.12E+19,0.005243082,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB13.mat,P5HB,13,739086.1617,1,3.77E-05,NaN,298,NaN,N,51+53,59+61,92721.88584,-1631.730231,67.68697666,0.014773891,-1.832898529,-0.000400063,-3.41E+18,0.027079043,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB14.mat,P5HB,14,739086.1685,0.75,6.51E-05,NaN,298,NaN,N,51+53,59+61,63433.84017,-1549.227492,46.30670333,0.021595146,-1.740224418,-0.000811554,-3.59E+18,0.0375804,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB15.mat,P5HB,15,739086.1753,0.5,0.000116176,NaN,298,NaN,N,51+53,59+61,41333.21886,-1214.723915,30.17324977,0.033141939,-1.364481479,-0.00149873,-4.57E+18,0.045221562,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB16.mat,P5HB,16,739086.182,0.4,0.000151046,NaN,298,NaN,N,51+53,59+61,32343.88639,-1013.625652,23.61103707,0.042353074,-1.138590762,-0.002042385,-5.48E+18,0.048222819,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB17.mat,P5HB,17,739086.1887,0.3,0.000199182,NaN,298,NaN,N,51+53,59+61,25642.64614,-843.6054608,18.71913168,0.053421281,-0.947609586,-0.00270432,-6.59E+18,0.050622518,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB18.mat,P5HB,18,739086.1954,0.2,0.000245199,NaN,298,NaN,N,51+53,59+61,21374.86198,-726.4334198,15.60364924,0.064087572,-0.815991959,-0.003351456,-7.65E+18,0.052294944,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB19.mat,P5HB,19,739086.2021,0.1,0.000309904,NaN,298,NaN,N,51+53,59+61,17716.74388,-616.1820793,12.93322303,0.077320247,-0.692148252,-0.004137953,-9.02E+18,0.053517074,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB20.mat,P5HB,20,739086.2088,0,0.001132018,NaN,298,NaN,N,51+53,59+61,7153.698653,-253.6491587,5.222200017,0.191490176,-0.284920363,-0.010447599,-2.19E+19,0.05455945,815
H:\Other computers\PDL-HALL01\Users\Oki\QHOT01-W1-CTRL2\PHB\P5HB_L815\QHOT01-W1-CTRL2_Vsrc2V_L815_P5HB21.mat,P5HB,21,739086.2156,10,8.93E-13,NaN,298,NaN,P,51+53,59+61,210582.9256,2646.032965,153.7255357,0.0065051,2.972249849,0.000125775,2.10E+18,0.019334783,815
